                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.40186,                0.60973,                0.31406,                 1.0195,                      1,                      1,                  0.995,                0.89329,                      1,                      1,                  0.995,                0.88897,                0.60033,                0.60639,                0.34223,                 1.1816,              0.0019305,              0.0019305,              0.0019305
                     27,                0.38314,                0.57109,                0.29472,                 1.0017,                      1,                      1,                  0.995,                0.83465,                      1,                      1,                  0.995,                0.86085,                0.74638,                0.59014,                0.43654,                 1.4309,              0.0019246,              0.0019246,              0.0019246
                     28,                0.38352,                0.57142,                0.29447,                0.99821,                      1,                      1,                  0.995,                0.88817,                      1,                      1,                  0.995,                0.89651,                0.61086,                0.52841,                0.37564,                  1.047,              0.0019186,              0.0019186,              0.0019186
                     29,                0.40575,                 0.5488,                0.29142,                 1.0011,                      1,                      1,                  0.995,                0.85546,                      1,                      1,                  0.995,                0.88272,                0.59135,                0.76511,                0.43252,                 1.1187,              0.0019123,              0.0019123,              0.0019123
                     30,                  0.393,                0.54326,                0.29824,                0.99545,                      1,                      1,                  0.995,                0.92377,                      1,                      1,                  0.995,                0.91901,                0.58501,                0.57554,                0.33831,                 1.2447,              0.0019058,              0.0019058,              0.0019058
                     31,                0.39566,                0.54615,                0.27622,                 1.0097,                      1,                      1,                  0.995,                0.95979,                      1,                      1,                  0.995,                0.93729,                0.41081,                 0.5961,                0.33057,                0.89529,               0.001899,               0.001899,               0.001899
                     32,                0.40246,                0.53057,                0.28486,                 0.9938,                      1,                      1,                  0.995,                0.94067,                      1,                      1,                  0.995,                0.93442,                0.54442,                0.63816,                0.27494,                 1.2144,              0.0018921,              0.0018921,              0.0018921
                     33,                0.37931,                0.52457,                0.28615,                 1.0113,                      1,                      1,                  0.995,                0.90664,                      1,                      1,                  0.995,                0.90381,                 0.4509,                0.48364,                0.39191,                  0.965,              0.0018849,              0.0018849,              0.0018849
                     34,                0.38134,                0.53161,                0.28361,                0.98025,                      1,                      1,                  0.995,                0.87072,                      1,                      1,                  0.995,                0.91725,                0.63799,                0.48005,                0.33884,                 1.1333,              0.0018775,              0.0018775,              0.0018775
                     35,                0.38017,                0.52256,                0.27404,                0.99373,                      1,                      1,                  0.995,                0.92225,                      1,                      1,                  0.995,                  0.926,                0.57128,                0.61577,                0.39468,                 1.0643,              0.0018699,              0.0018699,              0.0018699
                     36,                 0.3675,                0.51657,                0.27046,                 0.9682,                      1,                      1,                  0.995,                0.90189,                      1,                      1,                  0.995,                0.91901,                0.52217,                0.50755,                0.33505,                0.98017,              0.0018621,              0.0018621,              0.0018621
                     37,                0.36949,                0.51969,                0.28052,                0.97909,                      1,                      1,                  0.995,                0.87954,                      1,                      1,                  0.995,                0.90779,                0.65761,                0.53962,                0.36537,                 1.1182,              0.0018541,              0.0018541,              0.0018541
                     38,                0.37772,                 0.5262,                0.26935,                0.98001,                      1,                      1,                  0.995,                0.91796,                      1,                      1,                  0.995,                0.91355,                 0.5592,                0.55231,                0.32108,                 1.1317,              0.0018459,              0.0018459,              0.0018459
                     39,                 0.3815,                  0.526,                0.25605,                0.98388,                      1,                      1,                  0.995,                0.91685,                      1,                      1,                  0.995,                0.91196,                0.53758,                0.57305,                 0.2921,                0.99579,              0.0018374,              0.0018374,              0.0018374
