                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                0.37817,                0.51655,                0.28284,                 1.0089,                      1,                      1,                  0.995,                0.93952,                      1,                      1,                  0.995,                 0.9735,                0.40552,                0.51573,                0.28252,                0.87098,              0.0019246,              0.0019246,              0.0019246
                     28,                0.35386,                0.51365,                0.27936,                0.97494,                      1,                      1,                  0.995,                0.96318,                      1,                      1,                  0.995,                0.93969,                0.39709,                0.55265,                0.27302,                0.91753,              0.0019186,              0.0019186,              0.0019186
                     29,                0.32347,                0.49638,                0.26207,                0.95269,                      1,                      1,                  0.995,                0.93892,                      1,                      1,                  0.995,                0.93889,                0.46482,                0.58077,                0.28416,                0.95524,              0.0019123,              0.0019123,              0.0019123
                     30,                0.33378,                 0.4654,                0.26353,                0.96122,                      1,                      1,                  0.995,                0.97618,                      1,                      1,                  0.995,                0.95932,                0.29721,                0.49911,                 0.2356,                0.79276,              0.0019058,              0.0019058,              0.0019058
                     31,                0.33385,                0.47221,                0.25793,                0.95448,                      1,                      1,                  0.995,                0.98846,                      1,                      1,                  0.995,                0.95186,                0.28248,                0.46018,                 0.2286,                0.78437,               0.001899,               0.001899,               0.001899
                     32,                0.32565,                0.47989,                0.25427,                0.96839,                      1,                      1,                  0.995,                0.96318,                      1,                      1,                  0.995,                0.95535,                0.35089,                0.53747,                 0.2463,                0.84334,              0.0018921,              0.0018921,              0.0018921
                     33,                0.31237,                0.47244,                0.24451,                 0.9557,                      1,                      1,                  0.995,                0.98846,                      1,                      1,                  0.995,                0.97804,                0.25073,                0.49871,                 0.2084,                0.76047,              0.0018849,              0.0018849,              0.0018849
                     34,                0.32589,                0.46764,                0.25069,                 0.9568,                      1,                      1,                  0.995,                0.97321,                      1,                      1,                  0.995,                  0.966,                0.30995,                0.54178,                0.27216,                0.83408,              0.0018775,              0.0018775,              0.0018775
                     35,                0.32396,                0.46737,                0.25975,                0.97031,                      1,                      1,                  0.995,                0.96338,                      1,                      1,                  0.995,                0.97675,                0.27543,                0.56172,                0.22823,                0.79637,              0.0018699,              0.0018699,              0.0018699
                     36,                0.31865,                0.46763,                0.24778,                0.94285,                      1,                      1,                  0.995,                0.94497,                      1,                      1,                  0.995,                0.95459,                0.42475,                0.48157,                0.28034,                0.98011,              0.0018621,              0.0018621,              0.0018621
