                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.82066,                0.90332,                 0.5237,                0.96264,                      1,                      1,                  0.995,                0.82941,                      1,                      1,                  0.995,                0.84325,                0.76716,                0.85092,                0.46099,                0.98435,              0.0016091,              0.0016091,              0.0016091
                     27,                0.81811,                0.91733,                0.52036,                0.95833,                      1,                      1,                  0.995,                0.82357,                      1,                      1,                  0.995,                0.81513,                0.69189,                0.75478,                0.42861,                0.95395,              0.0016042,              0.0016042,              0.0016042
                     28,                0.81793,                0.90424,                0.51931,                0.95963,                      1,                      1,                  0.995,                0.81081,                      1,                      1,                  0.995,                0.81554,                0.77578,                0.79886,                0.48873,                0.98302,              0.0015991,              0.0015991,              0.0015991
                     29,                0.82304,                0.94257,                0.52935,                0.96249,                      1,                      1,                  0.995,                0.84886,                      1,                      1,                  0.995,                0.85704,                0.72355,                0.72162,                0.46419,                0.96119,              0.0015939,              0.0015939,              0.0015939
                     30,                0.82967,                0.90084,                0.52921,                0.96701,                      1,                      1,                  0.995,                0.80942,                      1,                      1,                  0.995,                0.85441,                0.77353,                0.80861,                0.48039,                0.96648,              0.0015885,              0.0015885,              0.0015885
                     31,                0.83216,                0.90201,                0.51475,                0.95217,                0.99513,                      1,                  0.995,                0.84133,                0.99513,                      1,                  0.995,                0.86446,                0.72574,                0.71827,                 0.4297,                0.95293,              0.0015829,              0.0015829,              0.0015829
                     32,                0.79618,                0.93554,                0.50337,                  0.952,                      1,                      1,                  0.995,                0.85267,                      1,                      1,                  0.995,                0.83671,                  0.749,                0.79865,                0.42988,                0.94888,              0.0015771,              0.0015771,              0.0015771
                     33,                0.81398,                0.88197,                0.50499,                0.96093,                      1,                      1,                  0.995,                0.80025,                      1,                      1,                  0.995,                0.85012,                0.77821,                0.73101,                 0.4199,                  0.939,              0.0015711,              0.0015711,              0.0015711
                     34,                 0.8037,                0.88687,                0.50425,                0.96162,                      1,                      1,                  0.995,                0.85528,                      1,                      1,                  0.995,                0.83735,                0.69826,                0.77144,                 0.4331,                0.94934,              0.0015649,              0.0015649,              0.0015649
                     35,                0.80194,                0.91713,                0.51065,                0.96209,                      1,                      1,                  0.995,                0.83403,                      1,                      1,                  0.995,                0.85395,                0.75369,                0.70573,                0.43474,                0.96438,              0.0015586,              0.0015586,              0.0015586
                     36,                0.82827,                0.91314,                0.50634,                0.94731,                      1,                      1,                  0.995,                0.81221,                      1,                      1,                  0.995,                0.78654,                0.73066,                0.68637,                0.44367,                0.97827,              0.0015521,              0.0015521,              0.0015521
                     37,                0.78481,                0.90804,                 0.4988,                0.94825,                      1,                      1,                  0.995,                0.87352,                      1,                      1,                  0.995,                0.82663,                 0.6786,                0.73093,                0.42215,                0.95965,              0.0015454,              0.0015454,              0.0015454
                     38,                0.79452,                0.87115,                0.49667,                0.94925,                      1,                      1,                  0.995,                0.85356,                      1,                      1,                  0.995,                0.83289,                0.72453,                0.72143,                0.41251,                0.95117,              0.0015385,              0.0015385,              0.0015385
                     39,                0.78495,                 0.8713,                0.48913,                0.95637,                      1,                      1,                  0.995,                0.82943,                      1,                      1,                  0.995,                0.85223,                0.74906,                0.70317,                0.40711,                0.96541,              0.0015315,              0.0015315,              0.0015315
                     40,                0.77401,                0.87776,                0.47411,                0.94128,                      1,                      1,                  0.995,                0.84509,                      1,                      1,                  0.995,                  0.884,                0.67826,                0.66413,                0.40356,                0.95582,              0.0015243,              0.0015243,              0.0015243
                     41,                0.75377,                0.88626,                 0.4755,                0.93716,                      1,                      1,                  0.995,                0.87489,                      1,                      1,                  0.995,                0.84469,                0.66213,                0.71585,                0.39727,                 0.9554,              0.0015169,              0.0015169,              0.0015169
                     42,                0.76027,                0.84141,                0.48229,                0.92752,                      1,                      1,                  0.995,                0.83725,                      1,                      1,                  0.995,                0.85397,                0.76301,                 0.6777,                0.44064,                 0.9548,              0.0015094,              0.0015094,              0.0015094
                     43,                 0.7799,                0.86749,                0.48124,                0.94427,                      1,                      1,                  0.995,                0.85247,                      1,                      1,                  0.995,                0.85234,                0.78435,                0.69496,                0.44193,                0.96678,              0.0015017,              0.0015017,              0.0015017
                     44,                0.76828,                 0.8711,                0.48101,                0.93668,                      1,                      1,                  0.995,                0.85903,                      1,                      1,                  0.995,                0.84611,                 0.7758,                0.66106,                0.42999,                0.96561,              0.0014938,              0.0014938,              0.0014938
                     45,                0.76002,                0.84292,                0.48196,                0.93823,                      1,                      1,                  0.995,                0.86876,                      1,                      1,                  0.995,                0.83889,                0.66165,                0.70122,                0.41452,                0.94924,              0.0014858,              0.0014858,              0.0014858
                     46,                0.73067,                0.80603,                0.46288,                0.93186,                      1,                      1,                  0.995,                0.87381,                      1,                      1,                  0.995,                0.83903,                0.66038,                0.72072,                0.38454,                0.93424,              0.0014776,              0.0014776,              0.0014776
                     47,                0.74719,                0.80127,                0.45275,                0.92855,                      1,                      1,                  0.995,                0.86706,                      1,                      1,                  0.995,                0.82923,                0.69289,                0.66377,                0.39092,                0.95266,              0.0014693,              0.0014693,              0.0014693
                     48,                0.73224,                0.83905,                0.44459,                 0.9261,                      1,                      1,                  0.995,                0.85456,                      1,                      1,                  0.995,                0.86168,                0.73181,                0.70116,                0.39624,                0.94816,              0.0014608,              0.0014608,              0.0014608
                     49,                0.74104,                0.81899,                0.44962,                 0.9262,                      1,                      1,                  0.995,                0.88442,                      1,                      1,                  0.995,                0.85996,                0.67048,                0.65795,                0.40262,                0.94391,              0.0014522,              0.0014522,              0.0014522
                     50,                0.73674,                0.81514,                0.44732,                0.94007,                      1,                      1,                  0.995,                0.87102,                      1,                      1,                  0.995,                0.84349,                0.66304,                0.71899,                0.38267,                0.93954,              0.0014434,              0.0014434,              0.0014434
                     51,                 0.7313,                0.83869,                0.44647,                0.92201,                      1,                      1,                  0.995,                0.84142,                      1,                      1,                  0.995,                0.84962,                 0.6895,                0.69273,                0.39267,                0.89089,              0.0014344,              0.0014344,              0.0014344
                     52,                 0.7478,                0.83159,                0.44999,                0.94275,                      1,                      1,                  0.995,                0.86505,                      1,                      1,                  0.995,                0.88211,                 0.6738,                0.63936,                0.37667,                0.94258,              0.0014253,              0.0014253,              0.0014253
                     53,                0.73945,                0.81069,                0.45408,                0.92199,                      1,                      1,                  0.995,                0.83048,                      1,                      1,                  0.995,                0.88955,                0.71164,                 0.6671,                0.39617,                0.94076,              0.0014161,              0.0014161,              0.0014161
                     54,                0.73116,                0.83948,                0.44218,                0.93168,                      1,                      1,                  0.995,                0.88093,                      1,                      1,                  0.995,                0.84033,                0.66847,                0.65301,                0.36874,                0.92371,              0.0014067,              0.0014067,              0.0014067
