                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.82353,                0.80047,                0.64387,                 0.9196,                0.97701,                0.94928,                0.97379,                0.78785,                0.97701,                0.94928,                0.97379,                0.72133,                0.88074,                0.67871,                0.59236,                0.86933,              0.0013833,              0.0013833,              0.0013833
                     26,                0.87296,                0.80479,                 0.6882,                0.91201,                0.97101,                0.97101,                0.97918,                0.79876,                0.97049,                0.96377,                0.97549,                 0.6966,                0.74256,                0.67479,                0.58419,                0.87155,              0.0013793,              0.0013793,              0.0013793
                     27,                0.85539,                0.82029,                  0.662,                0.91326,                0.96377,                0.96377,                0.97553,                0.68538,                0.96377,                0.96377,                0.97553,                 0.6706,                0.78222,                0.94043,                0.65406,                0.90698,              0.0013752,              0.0013752,              0.0013752
                     28,                0.86779,                0.80363,                0.65919,                0.91619,                0.97826,                0.72826,                0.85949,                0.59817,                0.97826,                0.72826,                 0.8635,                0.65876,                0.90575,                0.75529,                0.60566,                0.87739,              0.0013708,              0.0013708,              0.0013708
                     29,                0.85628,                0.84622,                0.63504,                0.90801,                0.97857,                0.73551,                0.86596,                0.65977,                0.97576,                0.71377,                0.85746,                0.60991,                0.73296,                 0.7948,                0.60176,                0.84797,              0.0013663,              0.0013663,              0.0013663
                     30,                0.85134,                0.78153,                0.65139,                0.89619,                0.96871,                0.93415,                0.95706,                0.62198,                0.96871,                0.93415,                0.95706,                0.76259,                0.77408,                0.70631,                0.70619,                0.86987,              0.0013617,              0.0013617,              0.0013617
                     31,                0.81552,                0.77399,                0.63012,                0.89263,                0.97761,                0.96377,                0.97807,                0.73831,                0.97015,                0.95652,                0.97431,                0.65823,                0.70738,                 0.6981,                0.58429,                0.86882,              0.0013569,              0.0013569,              0.0013569
                     32,                 0.8151,                0.81535,                0.61913,                0.88701,                0.99254,                0.97826,                0.98588,                0.67642,                0.99254,                0.97826,                0.98588,                0.79769,                0.74928,                0.66921,                0.55352,                0.87281,              0.0013519,              0.0013519,              0.0013519
                     33,                 0.8136,                0.77663,                0.60684,                0.88587,                0.97826,                0.97826,                0.98352,                0.78423,                0.97826,                0.97826,                0.98352,                0.65917,                0.72526,                0.78964,                0.53006,                0.85654,              0.0013468,              0.0013468,              0.0013468
                     34,                0.85963,                0.77203,                0.62932,                0.89423,                0.95775,                0.97101,                0.98037,                0.80424,                0.95775,                0.97101,                0.98037,                0.69328,                0.75025,                0.69202,                 0.5846,                 0.8813,              0.0013415,              0.0013415,              0.0013415
                     35,                0.81677,                0.78156,                0.62232,                0.89054,                0.98571,                0.74275,                0.87005,                0.71384,                0.97143,                0.72826,                0.85938,                0.57558,                0.66022,                 0.6981,                0.49602,                0.87397,              0.0013361,              0.0013361,              0.0013361
                     36,                0.84639,                0.77658,                0.63816,                0.91165,                0.98485,                0.96377,                0.97828,                0.65547,                0.97727,                0.95652,                0.97222,                0.55667,                0.98151,                0.70084,                0.58704,                0.91022,              0.0013305,              0.0013305,              0.0013305
                     37,                0.84657,                0.74399,                0.60421,                0.89799,                0.97059,                0.96377,                0.96592,                0.72696,                0.97794,                0.97101,                0.97435,                0.70354,                0.88084,                0.72243,                 0.5788,                0.86772,              0.0013248,              0.0013248,              0.0013248
                     38,                0.80434,                0.78555,                0.60627,                0.88837,                0.97826,                0.97826,                0.98388,                0.76379,                0.97826,                0.97826,                0.98513,                0.73491,                0.70222,                0.80718,                0.53654,                 0.8603,              0.0013189,              0.0013189,              0.0013189
                     39,                0.80047,                0.79313,                0.62175,                0.88393,                 0.9837,                0.97826,                0.98651,                0.80932,                0.97757,                0.97826,                0.98611,                 0.6483,                0.67678,                  0.711,                0.53423,                0.84283,              0.0013129,              0.0013129,              0.0013129
                     40,                0.77912,                0.75065,                0.60029,                 0.8768,                0.97059,                0.96377,                0.97423,                0.79661,                0.97794,                0.97101,                0.98047,                0.70057,                0.78544,                0.72613,                0.62005,                0.87109,              0.0013067,              0.0013067,              0.0013067
                     41,                0.76693,                0.75296,                0.59702,                0.88134,                0.99229,                0.96285,                0.98131,                0.80102,                0.99229,                0.96285,                0.98131,                0.76791,                0.69101,                0.60364,                0.49059,                0.84912,              0.0013004,              0.0013004,              0.0013004
                     42,                0.83845,                 0.7653,                0.59956,                0.89505,                0.97287,                0.97826,                0.97678,                0.78655,                 0.9657,                0.97101,                0.96715,                 0.6738,                0.70537,                 0.6617,                0.58955,                0.85677,              0.0012939,              0.0012939,              0.0012939
                     43,                0.76074,                0.74369,                0.57214,                0.89369,                0.96429,                0.97101,                0.97921,                0.72496,                0.96429,                0.97101,                0.97921,                0.67592,                0.66526,                0.75032,                0.53631,                0.85192,              0.0012873,              0.0012873,              0.0012873
                     44,                0.75582,                  0.733,                0.57551,                0.89298,                0.97727,                0.95652,                0.97375,                0.76398,                0.97727,                0.95652,                0.97375,                 0.7093,                0.64886,                0.65326,                 0.5054,                0.86446,              0.0012806,              0.0012806,              0.0012806
                     45,                0.76109,                0.74651,                0.57083,                0.88809,                0.97794,                0.97101,                0.98099,                0.78724,                0.97794,                0.97101,                0.98099,                0.69895,                0.71849,                0.65966,                0.49688,                0.84423,              0.0012737,              0.0012737,              0.0012737
                     46,                0.79014,                 0.7422,                0.57001,                0.87955,                0.97371,                0.93478,                0.96097,                0.78289,                0.97371,                0.93478,                0.96097,                0.73187,                0.72533,                0.72325,                0.56269,                0.84993,              0.0012667,              0.0012667,              0.0012667
                     47,                0.80766,                0.74882,                0.56797,                0.87853,                0.98551,                0.98551,                0.98784,                0.78743,                0.98551,                0.98551,                0.98784,                0.69089,                0.76951,                 0.6584,                0.48636,                0.85734,              0.0012595,              0.0012595,              0.0012595
                     48,                0.76464,                0.71281,                0.56495,                0.88498,                0.99226,                0.96101,                0.98185,                0.82557,                0.99226,                0.96101,                0.98185,                0.65264,                0.63327,                0.64776,                 0.4807,                0.84797,              0.0012522,              0.0012522,              0.0012522
                     49,                0.74349,                0.72387,                0.55188,                 0.8779,                      1,                0.97826,                 0.9865,                 0.8216,                0.98485,                0.96377,                0.97764,                0.67547,                0.66228,                0.66234,                0.47058,                0.84705,              0.0012448,              0.0012448,              0.0012448
                     50,                 0.7591,                0.77415,                0.54274,                0.87019,                      1,                0.98206,                0.99002,                0.84642,                0.99248,                0.97481,                0.98287,                0.68438,                 0.7174,                0.78686,                0.50647,                0.84949,              0.0012373,              0.0012373,              0.0012373
                     51,                0.77411,                0.73676,                0.55411,                0.87754,                0.98758,                0.74275,                0.87063,                0.66448,                0.97324,                0.72826,                0.85503,                0.55536,                0.71334,                0.67463,                0.52677,                0.84554,              0.0012296,              0.0012296,              0.0012296
