                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.634,                 2.1636,                 1.4098,                  0.875,                0.36842,                0.62766,                0.48014,                 1.2778,                 1.1504,                 1.2201,              0.0033125,              0.0033125,              0.0033125
                      2,                  1.486,                 1.1362,                 1.2225,                0.94118,                 0.5614,                0.76092,                0.55325,                 1.2403,                0.89271,                 1.1208,              0.0066458,              0.0066458,              0.0066458
                      3,                 1.5104,                  1.095,                 1.2127,                0.91176,                0.54386,                0.74841,                0.55968,                 1.1979,                0.87363,                 1.1074,              0.0099791,              0.0099791,              0.0099791
                      4,                 1.5124,                 1.0734,                 1.1968,                0.97222,                0.61404,                0.79971,                0.56279,                  1.386,                0.86062,                 1.1228,              0.0099999,              0.0099999,              0.0099999
                      5,                 1.5059,                 1.0229,                 1.1844,                      1,                0.61404,                0.80699,                0.55488,                 1.3514,                0.80746,                 1.1261,              0.0099999,              0.0099999,              0.0099999
                      6,                  1.449,                0.97487,                 1.1589,                      1,                0.59649,                0.79822,                0.59817,                  1.232,                0.74064,                 1.0768,              0.0099999,              0.0099999,              0.0099999
                      7,                 1.4359,                0.95248,                 1.1603,                      1,                0.52632,                0.76313,                0.56929,                 1.2357,                0.78972,                 1.1256,              0.0099998,              0.0099998,              0.0099998
                      8,                 1.4284,                 0.9212,                 1.1443,                      1,                0.61404,                0.80699,                0.60545,                 1.1922,                0.69344,                 1.0933,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.3974,                0.88201,                 1.1374,                      1,                0.61404,                0.80699,                0.61628,                 1.1849,                0.66371,                 1.0986,              0.0099996,              0.0099996,              0.0099996
                     10,                 1.3875,                 0.8985,                 1.1327,                 0.9865,                0.63158,                0.81089,                0.60396,                 1.2661,                0.67998,                 1.1334,              0.0099995,              0.0099995,              0.0099995
                     11,                  1.395,                0.86696,                 1.1284,                0.97297,                0.63158,                 0.8098,                0.58937,                 1.3212,                0.67523,                 1.1334,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.3713,                0.84268,                 1.1236,                0.97368,                0.64912,                0.81798,                0.60053,                 1.2861,                 0.6804,                 1.1491,              0.0099992,              0.0099992,              0.0099992
                     13,                 1.3717,                0.83692,                 1.1294,                      1,                0.61404,                0.80699,                0.62108,                 1.1446,                0.63763,                 1.1039,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.3586,                0.81229,                 1.1204,                      1,                0.63158,                0.81577,                0.58466,                 1.2603,                0.62489,                 1.1396,              0.0099989,              0.0099989,              0.0099989
                     15,                 1.3443,                0.81184,                 1.1142,                0.98732,                0.66667,                0.82898,                0.60357,                 1.2081,                0.58681,                 1.1306,              0.0099987,              0.0099987,              0.0099987
                     16,                 1.3389,                0.79837,                  1.116,                0.97297,                0.63158,                0.81035,                0.59157,                 1.2646,                0.62463,                 1.1353,              0.0099985,              0.0099985,              0.0099985
                     17,                 1.3361,                0.79722,                  1.113,                0.98681,                0.63158,                0.81089,                0.60089,                 1.2204,                0.62527,                 1.1386,              0.0099983,              0.0099983,              0.0099983
                     18,                   1.33,                0.79996,                 1.1112,                0.97152,                0.63158,                0.80133,                0.59924,                 1.2241,                0.64895,                 1.1065,              0.0099981,              0.0099981,              0.0099981
                     19,                 1.3504,                0.78579,                 1.1159,                      1,                0.63158,                0.81577,                0.59462,                 1.3009,                0.60682,                 1.1527,              0.0099978,              0.0099978,              0.0099978
                     20,                 1.3118,                0.77413,                 1.1041,                0.97297,                0.63158,                 0.8098,                0.59819,                 1.2492,                 0.6124,                 1.1417,              0.0099976,              0.0099976,              0.0099976
                     21,                  1.327,                0.77424,                 1.1065,                      1,                0.63158,                0.81577,                0.59144,                 1.2752,                0.57764,                 1.1263,              0.0099973,              0.0099973,              0.0099973
                     22,                 1.3172,                0.75367,                 1.1061,                0.97962,                0.63158,                0.81089,                0.60615,                 1.2226,                0.58703,                 1.0896,               0.009997,               0.009997,               0.009997
                     23,                 1.3065,                0.75315,                 1.1005,                      1,                0.63158,                0.81577,                0.59935,                 1.2918,                0.56951,                 1.1471,              0.0099967,              0.0099967,              0.0099967
                     24,                 1.3187,                0.76417,                 1.1086,                      1,                0.62691,                0.80626,                0.60255,                 1.2247,                0.58536,                 1.1238,              0.0099964,              0.0099964,              0.0099964
                     25,                 1.3186,                0.75177,                 1.1057,                0.99414,                0.63158,                0.80626,                0.60765,                 1.2333,                0.58796,                 1.1193,               0.009996,               0.009996,               0.009996
                     26,                 1.3098,                0.73181,                 1.0973,                0.99075,                0.63158,                0.80626,                0.61062,                 1.2001,                0.56895,                 1.0843,              0.0099957,              0.0099957,              0.0099957
                     27,                 1.2934,                0.74309,                 1.0901,                0.95839,                0.63158,                0.80382,                0.58539,                 1.3236,                 0.5649,                  1.168,              0.0099953,              0.0099953,              0.0099953
                     28,                 1.2916,                0.73298,                 1.0967,                      1,                0.63158,                0.81577,                0.60459,                 1.2629,                0.55062,                 1.1322,              0.0099949,              0.0099949,              0.0099949
                     29,                 1.3087,                0.73314,                 1.1007,                      1,                0.59649,                0.79822,                0.58738,                 1.3004,                0.60077,                 1.1506,              0.0099945,              0.0099945,              0.0099945
                     30,                 1.2965,                0.72231,                 1.0997,                      1,                0.64912,                0.82455,                0.61732,                 1.2898,                 0.5962,                 1.1841,              0.0099941,              0.0099941,              0.0099941
                     31,                 1.2775,                0.73061,                 1.0928,                0.97598,                0.64912,                0.81983,                0.59839,                 1.2293,                0.55497,                  1.141,              0.0099937,              0.0099937,              0.0099937
                     32,                 1.2953,                0.72321,                 1.0944,                0.98766,                0.64912,                0.81534,                0.59303,                 1.2429,                0.54346,                 1.1397,              0.0099932,              0.0099932,              0.0099932
                     33,                 1.2875,                0.71948,                 1.0995,                0.99121,                0.64912,                0.81983,                0.62083,                 1.1795,                0.54102,                 1.1063,              0.0099928,              0.0099928,              0.0099928
                     34,                 1.2813,                0.72001,                 1.0899,                0.99808,                0.64912,                0.81983,                0.62305,                 1.1843,                0.53527,                 1.1135,              0.0099923,              0.0099923,              0.0099923
                     35,                  1.286,                0.70574,                 1.0841,                      1,                0.63158,                0.81577,                0.61307,                 1.2736,                0.55987,                 1.1483,              0.0099918,              0.0099918,              0.0099918
                     36,                 1.2686,                0.69685,                 1.0884,                      1,                0.66667,                 0.8333,                0.62396,                 1.1943,                0.55393,                 1.1186,              0.0099913,              0.0099913,              0.0099913
                     37,                 1.2817,                0.69533,                 1.0873,                      1,                0.66667,                 0.8333,                0.62783,                 1.1542,                0.55459,                 1.1056,              0.0099908,              0.0099908,              0.0099908
                     38,                 1.2657,                0.71398,                 1.0871,                0.99071,                0.64912,                0.81983,                0.62081,                  1.232,                0.53205,                  1.124,              0.0099902,              0.0099902,              0.0099902
                     39,                 1.2852,                0.70033,                 1.0864,                      1,                0.63158,                0.81577,                0.63094,                 1.1793,                0.54557,                 1.1191,              0.0099897,              0.0099897,              0.0099897
                     40,                 1.2672,                0.68885,                 1.0838,                      1,                0.61404,                0.80699,                0.62069,                 1.2268,                0.51493,                  1.118,              0.0099891,              0.0099891,              0.0099891
                     41,                 1.2569,                0.68953,                 1.0785,                0.97436,                0.66667,                0.82847,                0.61238,                 1.2367,                 0.5439,                 1.1101,              0.0099885,              0.0099885,              0.0099885
                     42,                 1.2736,                0.68433,                 1.0807,                0.99147,                0.64912,                0.81983,                 0.6157,                  1.202,                0.53282,                 1.1136,              0.0099879,              0.0099879,              0.0099879
                     43,                 1.2597,                0.68874,                 1.0752,                0.97276,                0.62668,                0.80572,                0.61496,                 1.2367,                0.53751,                 1.1142,              0.0099873,              0.0099873,              0.0099873
                     44,                 1.2537,                0.68192,                 1.0731,                      1,                0.61404,                0.80699,                0.60537,                 1.2478,                 0.5271,                 1.1147,              0.0099867,              0.0099867,              0.0099867
                     45,                 1.2557,                0.67578,                 1.0754,                0.97368,                0.64912,                0.81904,                0.61487,                 1.2294,                0.55554,                 1.1157,              0.0099861,              0.0099861,              0.0099861
                     46,                 1.2645,                0.67458,                 1.0734,                      1,                0.64912,                0.82455,                0.61165,                 1.2877,                0.54857,                 1.1582,              0.0099854,              0.0099854,              0.0099854
                     47,                  1.242,                0.67027,                  1.076,                      1,                0.63158,                0.81577,                0.59957,                 1.2568,                0.53852,                 1.1331,              0.0099847,              0.0099847,              0.0099847
                     48,                 1.2551,                0.67184,                 1.0767,                      1,                0.64912,                0.82455,                0.63463,                 1.1291,                0.54143,                 1.0888,              0.0099841,              0.0099841,              0.0099841
                     49,                 1.2333,                0.67521,                 1.0773,                      1,                0.64912,                0.82455,                0.63276,                 1.1933,                 0.5506,                 1.1258,              0.0099834,              0.0099834,              0.0099834
                     50,                 1.2512,                 0.6757,                 1.0802,                0.93971,                0.63158,                0.80026,                0.60459,                 1.1851,                0.56104,                 1.1072,              0.0099826,              0.0099826,              0.0099826
                     51,                 1.2405,                0.66852,                 1.0709,                      1,                0.64912,                0.82455,                0.61087,                 1.2737,                0.55598,                 1.1342,              0.0099819,              0.0099819,              0.0099819
                     52,                 1.2326,                0.65083,                  1.066,                0.97368,                0.64912,                0.81904,                0.62626,                 1.1954,                0.55527,                 1.1023,              0.0099812,              0.0099812,              0.0099812
                     53,                 1.2401,                 0.6566,                 1.0666,                0.97368,                0.64912,                0.81956,                0.60667,                 1.2381,                0.53973,                 1.1317,              0.0099804,              0.0099804,              0.0099804
                     54,                 1.2166,                0.65124,                 1.0664,                0.96226,                0.63158,                0.80518,                0.57932,                 1.3069,                0.56126,                 1.1519,              0.0099796,              0.0099796,              0.0099796
                     55,                  1.235,                0.65744,                 1.0684,                      1,                0.63158,                0.81577,                0.62956,                 1.2392,                0.52843,                 1.1008,              0.0099788,              0.0099788,              0.0099788
                     56,                 1.2391,                0.66214,                 1.0702,                      1,                0.63158,                0.81577,                0.61336,                 1.2211,                0.53273,                 1.1149,               0.009978,               0.009978,               0.009978
                     57,                 1.2246,                0.65926,                 1.0735,                      1,                0.63158,                0.81577,                0.62311,                 1.2474,                0.55735,                 1.1214,              0.0099772,              0.0099772,              0.0099772
                     58,                 1.2352,                0.65411,                 1.0659,                      1,                0.61404,                0.80699,                0.60281,                 1.3078,                0.54072,                 1.1378,              0.0099764,              0.0099764,              0.0099764
                     59,                 1.2396,                 0.6519,                 1.0679,                      1,                0.63158,                0.81577,                0.61258,                 1.2124,                0.51868,                  1.102,              0.0099755,              0.0099755,              0.0099755
                     60,                 1.2212,                0.65316,                 1.0661,                      1,                0.63158,                0.81577,                0.61473,                 1.2118,                0.51969,                 1.1051,              0.0099747,              0.0099747,              0.0099747
                     61,                 1.2089,                0.64043,                 1.0644,                      1,                0.63158,                0.81577,                0.61294,                 1.2342,                0.51961,                 1.0944,              0.0099738,              0.0099738,              0.0099738
                     62,                 1.2304,                0.65476,                 1.0625,                      1,                0.64912,                0.82455,                0.63599,                 1.1646,                0.50857,                 1.0802,              0.0099729,              0.0099729,              0.0099729
                     63,                 1.2193,                0.65075,                 1.0581,                      1,                0.64912,                0.82455,                0.63607,                 1.1917,                0.50701,                 1.1022,               0.009972,               0.009972,               0.009972
                     64,                 1.2246,                0.65065,                 1.0622,                      1,                0.64912,                0.82455,                0.61983,                 1.1653,                0.51281,                 1.0957,               0.009971,               0.009971,               0.009971
                     65,                 1.2199,                0.64236,                 1.0614,                      1,                0.64912,                0.82455,                0.62012,                 1.1625,                0.50637,                 1.1019,              0.0099701,              0.0099701,              0.0099701
                     66,                 1.2122,                0.64925,                 1.0624,                      1,                0.64912,                0.82455,                0.61989,                 1.2296,                0.51276,                  1.123,              0.0099692,              0.0099692,              0.0099692
                     67,                 1.2195,                0.64544,                 1.0666,                      1,                0.63158,                0.81577,                0.62585,                 1.1816,                0.50827,                 1.1103,              0.0099682,              0.0099682,              0.0099682
                     68,                 1.2139,                0.63856,                  1.062,                      1,                0.63158,                0.81577,                 0.6153,                 1.1709,                0.51145,                 1.1127,              0.0099672,              0.0099672,              0.0099672
                     69,                 1.2002,                0.63883,                 1.0569,                      1,                0.63158,                0.81577,                 0.6237,                 1.1494,                0.50406,                 1.1126,              0.0099662,              0.0099662,              0.0099662
                     70,                 1.2324,                 0.6452,                 1.0716,                      1,                0.66667,                 0.8333,                 0.6165,                 1.2008,                0.49489,                 1.1344,              0.0099652,              0.0099652,              0.0099652
                     71,                 1.2146,                0.63491,                 1.0556,                      1,                0.63158,                0.81577,                0.62752,                 1.1458,                0.50714,                 1.0922,              0.0099641,              0.0099641,              0.0099641
                     72,                 1.2056,                0.63279,                 1.0561,                      1,                0.63158,                0.81577,                0.63027,                 1.1697,                0.50309,                 1.0928,              0.0099631,              0.0099631,              0.0099631
                     73,                 1.2144,                0.63786,                 1.0594,                      1,                0.63158,                0.81577,                0.62582,                 1.1593,                0.51558,                 1.0899,               0.009962,               0.009962,               0.009962
                     74,                 1.2046,                0.63256,                 1.0515,                      1,                0.64912,                0.82455,                0.63002,                 1.1153,                0.50278,                 1.0847,               0.009961,               0.009961,               0.009961
                     75,                 1.1873,                0.62486,                 1.0487,                      1,                0.63158,                0.81577,                0.63062,                 1.1287,                0.50007,                 1.0908,              0.0099599,              0.0099599,              0.0099599
                     76,                 1.2033,                0.63123,                 1.0563,                      1,                0.68421,                0.84207,                0.61676,                 1.2012,                 0.4934,                  1.107,              0.0099588,              0.0099588,              0.0099588
                     77,                 1.2021,                0.62686,                 1.0533,                      1,                0.63158,                0.81577,                 0.6172,                  1.212,                0.52315,                 1.1201,              0.0099577,              0.0099577,              0.0099577
                     78,                 1.2035,                0.62657,                 1.0556,                      1,                0.63158,                0.81577,                0.62204,                 1.1484,                0.49844,                 1.0825,              0.0099565,              0.0099565,              0.0099565
                     79,                 1.1984,                0.62225,                 1.0515,                      1,                0.64912,                0.82455,                0.62563,                 1.1695,                0.50532,                 1.0805,              0.0099554,              0.0099554,              0.0099554
                     80,                  1.196,                 0.6194,                 1.0555,                      1,                0.63158,                0.81577,                0.61262,                 1.1853,                0.51961,                 1.1094,              0.0099542,              0.0099542,              0.0099542
                     81,                 1.1914,                0.62169,                 1.0478,                      1,                0.63158,                0.81577,                0.62778,                   1.11,                0.49353,                 1.0708,               0.009953,               0.009953,               0.009953
                     82,                 1.1884,                0.62325,                 1.0485,                      1,                0.63158,                0.81577,                0.62252,                 1.1866,                0.50326,                 1.1017,              0.0099518,              0.0099518,              0.0099518
                     83,                   1.19,                0.61756,                 1.0486,                      1,                0.63158,                0.81577,                 0.6406,                 1.1251,                0.48124,                 1.0704,              0.0099506,              0.0099506,              0.0099506
                     84,                 1.1833,                0.61701,                 1.0471,                      1,                0.63158,                0.81577,                0.63453,                  1.166,                0.51749,                 1.0959,              0.0099494,              0.0099494,              0.0099494
                     85,                 1.1886,                0.61618,                 1.0471,                0.97419,                0.64912,                0.81983,                0.62009,                 1.1877,                0.50986,                 1.1129,              0.0099482,              0.0099482,              0.0099482
                     86,                 1.1854,                0.60826,                 1.0422,                      1,                0.63158,                0.81577,                0.63279,                 1.1589,                0.50716,                 1.0876,              0.0099469,              0.0099469,              0.0099469
                     87,                 1.1722,                 0.6139,                  1.053,                      1,                0.64524,                0.81983,                0.62925,                 1.1205,                  0.471,                 1.0989,              0.0099456,              0.0099456,              0.0099456
                     88,                 1.1724,                0.61348,                 1.0385,                      1,                0.64912,                0.82455,                0.64149,                 1.1222,                0.49046,                  1.075,              0.0099443,              0.0099443,              0.0099443
                     89,                 1.1772,                0.60928,                 1.0493,                      1,                0.64912,                0.82455,                0.62682,                 1.1752,                0.48621,                 1.1136,               0.009943,               0.009943,               0.009943
                     90,                 1.1831,                0.60657,                 1.0409,                      1,                0.64912,                0.82455,                0.62329,                 1.2199,                0.49651,                 1.1145,              0.0099417,              0.0099417,              0.0099417
                     91,                 1.1963,                0.61173,                 1.0503,                      1,                0.63158,                0.81577,                0.62912,                 1.1542,                0.49878,                 1.0956,              0.0099404,              0.0099404,              0.0099404
                     92,                 1.1859,                0.60601,                 1.0452,                      1,                0.64912,                0.82455,                0.64222,                 1.0897,                0.48229,                 1.0672,              0.0099391,              0.0099391,              0.0099391
                     93,                 1.1703,                0.60781,                 1.0482,                      1,                0.64912,                0.82455,                0.62563,                 1.1804,                0.47676,                 1.0972,              0.0099377,              0.0099377,              0.0099377
                     94,                 1.1693,                0.59806,                 1.0402,                      1,                0.64912,                0.82455,                0.62214,                 1.1739,                0.49134,                  1.108,              0.0099363,              0.0099363,              0.0099363
                     95,                 1.1704,                0.59838,                 1.0375,                      1,                0.64912,                0.82455,                0.61872,                 1.1659,                0.48288,                 1.1017,              0.0099349,              0.0099349,              0.0099349
                     96,                 1.1706,                0.60477,                 1.0417,                0.97297,                0.63158,                0.81035,                0.62362,                 1.1618,                0.49183,                 1.0992,              0.0099335,              0.0099335,              0.0099335
                     97,                 1.1739,                0.60667,                  1.044,                      1,                0.64912,                0.82455,                0.63437,                 1.1597,                0.48512,                 1.0919,              0.0099321,              0.0099321,              0.0099321
                     98,                 1.1591,                0.60236,                 1.0422,                      1,                0.64912,                0.82455,                0.64135,                  1.134,                0.50298,                 1.0951,              0.0099307,              0.0099307,              0.0099307
                     99,                 1.1694,                0.60282,                 1.0477,                      1,                0.64912,                0.82455,                0.61964,                 1.2107,                0.50283,                  1.117,              0.0099292,              0.0099292,              0.0099292
                    100,                 1.1826,                 0.6008,                 1.0499,                      1,                0.66667,                 0.8333,                0.63356,                 1.1819,                 0.4916,                 1.1022,              0.0099278,              0.0099278,              0.0099278
                    101,                 1.1678,                0.59731,                 1.0415,                      1,                0.64912,                0.82455,                0.62421,                 1.2044,                 0.4805,                 1.1116,              0.0099263,              0.0099263,              0.0099263
                    102,                 1.1624,                0.59372,                 1.0338,                0.97297,                0.63158,                0.81035,                0.61467,                 1.2061,                0.50751,                  1.117,              0.0099248,              0.0099248,              0.0099248
                    103,                 1.1728,                0.60668,                 1.0447,                0.99086,                0.63158,                0.81089,                0.60591,                 1.2102,                0.51879,                 1.1218,              0.0099233,              0.0099233,              0.0099233
                    104,                 1.1546,                0.60216,                 1.0401,                      1,                0.64912,                0.82455,                0.62824,                 1.1422,                0.48789,                 1.0908,              0.0099218,              0.0099218,              0.0099218
                    105,                 1.1712,                0.59924,                 1.0375,                      1,                0.64912,                0.82455,                0.61416,                 1.2003,                0.48084,                 1.1179,              0.0099202,              0.0099202,              0.0099202
                    106,                 1.1629,                0.58825,                 1.0328,                      1,                0.64912,                0.82455,                0.61886,                  1.167,                0.49184,                 1.1124,              0.0099187,              0.0099187,              0.0099187
                    107,                  1.183,                0.62792,                 1.0501,                0.98989,                0.61404,                0.79661,                0.61665,                 1.1281,                0.50848,                 1.0761,              0.0099171,              0.0099171,              0.0099171
                    108,                 1.1671,                0.59755,                 1.0321,                      1,                0.63158,                0.81577,                0.63075,                 1.1495,                 0.4784,                 1.0946,              0.0099155,              0.0099155,              0.0099155
                    109,                 1.1583,                0.59455,                 1.0422,                      1,                0.63158,                0.81577,                0.62236,                 1.1547,                0.48445,                 1.0895,              0.0099139,              0.0099139,              0.0099139
                    110,                 1.1612,                0.59324,                 1.0322,                      1,                0.63158,                0.81577,                0.62782,                   1.16,                0.46925,                 1.0931,              0.0099123,              0.0099123,              0.0099123
                    111,                 1.1541,                0.59614,                 1.0336,                      1,                0.63158,                0.81577,                0.62659,                 1.1672,                0.47501,                 1.1079,              0.0099107,              0.0099107,              0.0099107
                    112,                 1.1567,                0.58575,                 1.0321,                      1,                0.63158,                0.81577,                0.62533,                 1.1697,                0.48057,                 1.1062,              0.0099091,              0.0099091,              0.0099091
                    113,                 1.1573,                0.58749,                 1.0286,                      1,                0.63158,                0.81577,                0.63449,                 1.1556,                0.47734,                 1.1201,              0.0099074,              0.0099074,              0.0099074
                    114,                 1.1597,                0.58644,                 1.0321,                      1,                0.64912,                0.82455,                0.62186,                   1.23,                0.49577,                 1.1354,              0.0099057,              0.0099057,              0.0099057
