                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64637,                 0.3765,                 1.6393,                0.97119,                0.93097,                0.95822,                0.69621,                 1.1035,                0.44319,                 2.3087,              0.0018699,              0.0018699,              0.0018699
                     36,                0.64977,                0.37318,                  1.619,                0.97065,                0.91321,                0.95184,                0.68743,                 1.0992,                0.45408,                 2.2164,              0.0018621,              0.0018621,              0.0018621
                     37,                0.64865,                0.37254,                 1.6084,                0.95885,                0.91913,                0.95263,                0.69419,                 1.0617,                0.43736,                 2.3384,              0.0018541,              0.0018541,              0.0018541
                     38,                 0.6419,                0.36822,                 1.5924,                0.97089,                 0.9211,                0.95465,                0.67773,                 1.0907,                 0.4429,                 2.1504,              0.0018459,              0.0018459,              0.0018459
                     39,                0.63566,                0.36287,                 1.5832,                0.96674,                0.91716,                0.95425,                0.69793,                 1.0823,                0.43784,                 2.1513,              0.0018374,              0.0018374,              0.0018374
                     40,                 0.6382,                 0.3608,                 1.5992,                0.96042,                0.90927,                0.94812,                0.68357,                 1.1247,                0.45704,                   2.36,              0.0018288,              0.0018288,              0.0018288
                     41,                0.63903,                0.36711,                 1.6119,                0.95219,                 0.9428,                0.96355,                0.68511,                 1.0972,                0.46262,                 2.1592,                0.00182,                0.00182,                0.00182
                     42,                0.62706,                0.36142,                 1.5927,                0.95951,                0.93491,                 0.9621,                0.69107,                 1.0652,                 0.4555,                 2.1934,              0.0018109,              0.0018109,              0.0018109
                     43,                0.63436,                0.36705,                 1.5829,                0.96545,                0.93688,                0.96315,                0.68699,                 1.0974,                0.45351,                 2.2819,              0.0018017,              0.0018017,              0.0018017
                     44,                0.64251,                0.36771,                 1.5834,                0.97516,                0.92899,                 0.9598,                0.69298,                  1.075,                0.43334,                 2.1606,              0.0017923,              0.0017923,              0.0017923
                     45,                0.62387,                0.35755,                 1.5699,                0.97934,                0.93491,                0.96332,                0.69285,                 1.0668,                0.43795,                 2.2755,              0.0017826,              0.0017826,              0.0017826
                     46,                 0.6163,                0.34818,                 1.5644,                0.97484,                0.91716,                0.95405,                0.69144,                 1.0844,                0.45104,                 2.1401,              0.0017728,              0.0017728,              0.0017728
                     47,                0.61789,                0.35338,                 1.5658,                 0.9574,                0.93097,                0.95961,                0.69953,                 1.0694,                0.42884,                 2.1685,              0.0017628,              0.0017628,              0.0017628
                     48,                0.61831,                0.35107,                 1.5605,                0.94737,                0.92308,                0.95258,                0.68214,                 1.0985,                0.44336,                 2.4836,              0.0017526,              0.0017526,              0.0017526
                     49,                0.62541,                0.35568,                 1.5904,                0.89533,                0.94477,                 0.9583,                0.67939,                 1.1176,                0.47748,                 2.3174,              0.0017422,              0.0017422,              0.0017422
                     50,                0.61189,                0.34387,                 1.5572,                0.95636,                0.93097,                0.95875,                0.68875,                 1.0594,                0.43225,                  2.207,              0.0017317,              0.0017317,              0.0017317
                     51,                 0.6169,                0.34274,                 1.5558,                0.98301,                0.91321,                0.95344,                0.69264,                 1.0508,                0.43194,                 2.3079,              0.0017209,              0.0017209,              0.0017209
                     52,                0.60982,                0.34657,                 1.5675,                0.97536,                0.93688,                0.96186,                0.69223,                 1.0545,                0.41433,                 2.2637,                0.00171,                0.00171,                0.00171
                     53,                0.59765,                0.33472,                 1.5397,                0.95723,                0.92702,                0.95638,                0.69378,                 1.0523,                0.44166,                 2.2461,               0.001699,               0.001699,               0.001699
                     54,                0.60801,                0.33765,                 1.5675,                0.95152,                0.92899,                0.95702,                  0.701,                  1.051,                0.42569,                 2.1843,              0.0016877,              0.0016877,              0.0016877
                     55,                0.60323,                0.33497,                 1.5613,                0.96266,                0.91519,                0.95028,                0.68053,                  1.088,                0.44096,                 2.2254,              0.0016763,              0.0016763,              0.0016763
                     56,                0.59991,                0.33862,                 1.5599,                0.94501,                0.91519,                 0.9503,                0.69699,                 1.0473,                0.43272,                 2.2294,              0.0016647,              0.0016647,              0.0016647
                     57,                0.60272,                0.33962,                 1.5359,                0.96982,                0.95069,                0.96985,                 0.7025,                 1.0633,                  0.415,                 2.3086,               0.001653,               0.001653,               0.001653
                     58,                0.59061,                0.33187,                  1.528,                0.95444,                0.90909,                0.95435,                0.68681,                  1.089,                0.44854,                 2.2325,               0.001641,               0.001641,               0.001641
                     59,                0.58387,                0.32631,                 1.5097,                0.97704,                0.92308,                0.95674,                 0.7017,                 1.0778,                0.42646,                 2.1972,               0.001629,               0.001629,               0.001629
                     60,                0.59622,                0.33605,                 1.5426,                0.95473,                0.91519,                0.94968,                0.68493,                 1.0999,                0.45533,                 2.2315,              0.0016168,              0.0016168,              0.0016168
                     61,                0.59412,                0.33414,                 1.5166,                  0.954,                0.94083,                0.96498,                0.69038,                 1.0697,                0.42873,                  2.177,              0.0016044,              0.0016044,              0.0016044
                     62,                0.59764,                0.33326,                 1.5249,                0.97125,                0.93294,                0.96049,                0.69327,                 1.0714,                0.41549,                 2.1535,              0.0015919,              0.0015919,              0.0015919
                     63,                 0.5872,                0.33178,                 1.5037,                0.97769,                0.95069,                0.97068,                 0.7088,                 1.0698,                0.41426,                 2.1595,              0.0015793,              0.0015793,              0.0015793
                     64,                 0.5876,                0.33479,                 1.5127,                0.95573,                0.93688,                0.96186,                 0.6989,                 1.0692,                0.42151,                 2.1479,              0.0015665,              0.0015665,              0.0015665
                     65,                0.57722,                0.32341,                 1.4959,                0.96524,                0.93097,                0.95788,                0.70106,                 1.0569,                0.41295,                 2.2409,              0.0015535,              0.0015535,              0.0015535
                     66,                0.57472,                0.31989,                 1.4952,                0.94015,                 0.9295,                0.95791,                0.70128,                 1.0402,                0.43368,                  2.198,              0.0015405,              0.0015405,              0.0015405
                     67,                0.58449,                0.31972,                 1.5241,                0.96382,                0.92899,                0.95999,                0.71583,                 1.0334,                0.41864,                 2.1278,              0.0015273,              0.0015273,              0.0015273
                     68,                 0.5831,                0.31982,                 1.5049,                0.97505,                0.92505,                0.95932,                0.69665,                 1.0549,                0.41183,                 2.2681,               0.001514,               0.001514,               0.001514
                     69,                0.56379,                0.31269,                 1.4925,                 0.9716,                0.94477,                0.96783,                0.69792,                 1.0701,                0.41557,                 2.2752,              0.0015005,              0.0015005,              0.0015005
                     70,                 0.5666,                0.31418,                  1.493,                0.97521,                0.93097,                0.96108,                0.69696,                 1.0554,                0.41786,                 2.1803,              0.0014869,              0.0014869,              0.0014869
                     71,                0.58267,                0.31931,                 1.4891,                0.96242,                0.93886,                0.96473,                0.70392,                 1.0674,                0.42715,                 2.2725,              0.0014733,              0.0014733,              0.0014733
                     72,                0.57543,                0.31693,                 1.4976,                0.96545,                0.93688,                0.96186,                0.69877,                 1.0657,                0.40745,                 2.2201,              0.0014595,              0.0014595,              0.0014595
                     73,                0.56424,                0.31455,                 1.5029,                0.97352,                 0.9428,                0.96619,                 0.6995,                 1.0734,                0.40145,                 2.2662,              0.0014455,              0.0014455,              0.0014455
                     74,                 0.5633,                  0.308,                 1.4803,                 0.9404,                0.93688,                 0.9624,                0.68657,                 1.0773,                 0.4317,                 2.1813,              0.0014315,              0.0014315,              0.0014315
                     75,                0.56554,                0.31268,                 1.4848,                0.97541,                0.93886,                0.96497,                0.70377,                 1.0555,                0.40564,                 2.2888,              0.0014174,              0.0014174,              0.0014174
                     76,                0.56831,                0.30777,                  1.495,                0.95943,                0.93294,                0.96031,                0.68902,                 1.0643,                 0.4163,                 2.2268,              0.0014032,              0.0014032,              0.0014032
                     77,                 0.5589,                0.31037,                 1.4833,                0.97755,                0.94477,                0.96881,                0.69975,                  1.058,                0.40107,                 2.3007,              0.0013889,              0.0013889,              0.0013889
                     78,                0.55257,                0.30451,                 1.4741,                0.97526,                0.93294,                0.96239,                0.69897,                 1.0463,                0.40647,                 2.3374,              0.0013744,              0.0013744,              0.0013744
                     79,                0.56565,                0.31072,                 1.4778,                0.93849,                0.93294,                0.95894,                0.69896,                 1.0335,                0.42731,                 2.2291,              0.0013599,              0.0013599,              0.0013599
                     80,                0.55989,                0.30875,                  1.474,                0.97336,                0.93688,                0.96398,                 0.6972,                 1.0679,                0.41922,                 2.2513,              0.0013454,              0.0013454,              0.0013454
                     81,                0.56912,                0.31464,                   1.48,                0.96861,                0.93886,                0.96462,                0.69944,                 1.0499,                0.40329,                 2.2328,              0.0013307,              0.0013307,              0.0013307
                     82,                0.55413,                0.30804,                 1.4392,                0.98545,                0.93491,                0.96337,                0.70357,                 1.0492,                0.39548,                 2.2445,              0.0013159,              0.0013159,              0.0013159
                     83,                0.54995,                0.30281,                 1.4541,                0.96548,                 0.9379,                0.96655,                0.69855,                 1.0558,                0.42081,                 2.3905,              0.0013011,              0.0013011,              0.0013011
                     84,                0.56062,                0.30529,                 1.4621,                0.97166,                0.94675,                0.96621,                0.68972,                 1.0824,                0.41174,                 2.3013,              0.0012862,              0.0012862,              0.0012862
                     85,                0.55857,                0.30487,                 1.4592,                 0.9833,                0.92899,                0.95928,                0.69467,                 1.0679,                  0.405,                  2.502,              0.0012712,              0.0012712,              0.0012712
                     86,                0.56082,                0.30534,                  1.485,                0.97951,                 0.9428,                0.96658,                 0.6925,                  1.083,                0.40568,                 2.4658,              0.0012562,              0.0012562,              0.0012562
                     87,                0.54944,                0.29988,                 1.4242,                0.97593,                0.92899,                0.95996,                0.69071,                  1.079,                0.40531,                 2.4698,              0.0012411,              0.0012411,              0.0012411
                     88,                0.54742,                0.30119,                 1.4475,                0.95758,                0.93491,                 0.9543,                0.68085,                 1.0886,                0.41619,                 2.2698,               0.001226,               0.001226,               0.001226
                     89,                0.53885,                0.29465,                 1.4246,                0.97331,                0.93491,                0.96034,                0.69176,                 1.0736,                0.41697,                 2.3007,              0.0012108,              0.0012108,              0.0012108
                     90,                0.53414,                0.29162,                 1.4423,                0.96545,                0.93688,                0.95901,                0.69481,                 1.0551,                0.39629,                  2.374,              0.0011955,              0.0011955,              0.0011955
                     91,                0.53112,                0.29035,                 1.4153,                0.97746,                0.94083,                0.96544,                0.69532,                 1.0507,                0.39673,                  2.333,              0.0011802,              0.0011802,              0.0011802
                     92,                0.52867,                 0.2897,                 1.3969,                0.97352,                 0.9428,                 0.9671,                0.68782,                 1.0893,                0.40987,                 2.4226,              0.0011649,              0.0011649,              0.0011649
                     93,                0.52818,                0.28946,                 1.4414,                0.95748,                 0.9211,                0.96198,                0.69702,                 1.0696,                0.41843,                  2.282,              0.0011495,              0.0011495,              0.0011495
                     94,                0.53534,                0.29191,                  1.429,                0.97751,                 0.9428,                0.96662,                0.70242,                 1.0669,                 0.4027,                 2.2968,              0.0011341,              0.0011341,              0.0011341
                     95,                 0.5315,                0.29034,                 1.4215,                0.98125,                0.92899,                0.96006,                0.70071,                 1.0755,                0.40849,                 2.2676,              0.0011186,              0.0011186,              0.0011186
