                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.52,                 1.0001,                 1.4476,                0.95413,                0.61538,                0.79239,                0.54601,                 1.4449,                 0.9158,                 1.3986,              0.0019917,              0.0019917,              0.0019917
                     36,                 1.5148,                0.98584,                 1.4395,                0.96805,                0.59763,                0.78928,                0.56466,                 1.4001,                0.88763,                 1.3437,              0.0019912,              0.0019912,              0.0019912
                     37,                 1.4928,                0.98271,                  1.425,                0.96687,                0.63314,                0.80571,                0.55024,                 1.4272,                0.90004,                  1.359,              0.0019907,              0.0019907,              0.0019907
                     38,                 1.4616,                0.96977,                 1.4044,                0.98545,                0.53452,                0.76173,                0.53743,                 1.4045,                0.93134,                 1.3555,              0.0019901,              0.0019901,              0.0019901
                     39,                 1.4607,                0.98306,                 1.4022,                0.96677,                0.63116,                0.80656,                0.57125,                 1.3822,                0.86196,                 1.3422,              0.0019896,              0.0019896,              0.0019896
                     40,                 1.4687,                0.96335,                 1.4022,                0.96308,                0.61736,                0.79832,                0.56525,                 1.3757,                0.92933,                 1.3447,               0.001989,               0.001989,               0.001989
                     41,                 1.4742,                0.97604,                 1.3994,                0.96707,                0.63708,                0.80854,                0.54705,                 1.4297,                0.90506,                 1.3513,              0.0019884,              0.0019884,              0.0019884
                     42,                 1.4763,                0.96446,                 1.3971,                0.91371,                0.71006,                0.83017,                0.54205,                 1.4458,                 0.9166,                 1.3696,              0.0019878,              0.0019878,              0.0019878
                     43,                 1.4478,                0.95696,                 1.3773,                0.99023,                0.59961,                0.79722,                0.55974,                 1.3511,                0.88142,                 1.3073,              0.0019872,              0.0019872,              0.0019872
                     44,                 1.4341,                0.94465,                  1.366,                0.95965,                 0.6568,                0.81474,                0.55939,                 1.3929,                0.85721,                 1.3353,              0.0019866,              0.0019866,              0.0019866
                     45,                 1.4101,                0.91419,                 1.3557,                0.97305,                0.64103,                0.81337,                0.59139,                 1.3531,                0.82769,                 1.3079,              0.0019859,              0.0019859,              0.0019859
                     46,                 1.4391,                 0.9416,                 1.3766,                0.96429,                0.63905,                 0.8093,                0.55179,                 1.3989,                0.85749,                 1.3128,              0.0019853,              0.0019853,              0.0019853
                     47,                 1.4184,                 0.9185,                 1.3586,                0.96942,                0.62525,                0.80381,                0.54836,                 1.3962,                0.85746,                 1.3235,              0.0019846,              0.0019846,              0.0019846
                     48,                 1.3928,                0.90527,                 1.3487,                0.94057,                0.71795,                0.84538,                0.58831,                 1.3353,                0.85147,                 1.2892,              0.0019839,              0.0019839,              0.0019839
                     49,                 1.4642,                0.93421,                 1.3743,                0.93924,                0.73176,                0.85199,                0.58692,                 1.3198,                  0.867,                 1.2965,              0.0019832,              0.0019832,              0.0019832
                     50,                 1.4058,                0.92762,                 1.3551,                0.97067,                0.65286,                0.81823,                0.56633,                 1.3575,                0.82343,                 1.2859,              0.0019825,              0.0019825,              0.0019825
                     51,                 1.4101,                0.90276,                 1.3528,                0.94133,                0.72781,                0.85071,                0.58452,                 1.3557,                0.83013,                 1.2901,              0.0019817,              0.0019817,              0.0019817
                     52,                 1.4286,                0.91672,                 1.3576,                0.98333,                0.58185,                0.78519,                0.49182,                 1.6032,                0.92113,                 1.4336,               0.001981,               0.001981,               0.001981
