                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.86681,                0.92856,                0.66498,                0.92308,                0.96875,                0.97468,                0.98013,                0.77151,                0.96875,                0.97468,                0.98013,                0.64074,                0.87367,                0.79446,                0.60889,                 0.8517,              0.0013833,              0.0013833,              0.0013833
                     26,                0.91167,                 0.9074,                0.68991,                0.91956,                0.98052,                0.96835,                0.97924,                 0.7416,                0.98052,                0.96835,                0.97924,                0.77552,                0.82247,                 0.7999,                0.60301,                0.86179,              0.0013793,              0.0013793,              0.0013793
                     27,                 0.8801,                0.84685,                0.66679,                0.90708,                0.98101,                0.98101,                0.98638,                0.78183,                0.97468,                0.97468,                0.98043,                0.72355,                0.93227,                0.68674,                0.66336,                0.88292,              0.0013752,              0.0013752,              0.0013752
                     28,                0.94375,                0.81289,                0.69251,                0.93266,                0.93548,                0.91772,                0.98406,                0.69198,                0.93899,                0.91772,                0.98043,                0.63624,                0.85437,                0.72778,                0.61822,                0.90411,              0.0013708,              0.0013708,              0.0013708
                     29,                0.89153,                0.81524,                 0.6644,                0.92468,                0.97531,                0.98743,                0.99328,                0.74227,                0.96914,                 0.9811,                0.98956,                0.69249,                0.93106,                0.70675,                0.62384,                0.89997,              0.0013663,              0.0013663,              0.0013663
                     30,                0.91803,                0.80151,                0.66305,                 0.9102,                0.99359,                0.98734,                0.99085,                 0.8336,                0.98077,                0.97468,                0.98339,                 0.7254,                0.73038,                0.64644,                 0.4939,                0.84925,              0.0013617,              0.0013617,              0.0013617
                     31,                0.85109,                0.83388,                0.62723,                0.89594,                      1,                0.98101,                 0.9879,                0.74364,                0.98684,                0.96835,                0.98055,                0.75014,                0.79001,                0.69545,                0.56481,                0.85165,              0.0013569,              0.0013569,              0.0013569
                     32,                0.79354,                0.80121,                0.59282,                0.91035,                0.96914,                0.73101,                0.86367,                0.71228,                0.96914,                0.73101,                0.86367,                0.57245,                 0.7046,                0.72213,                0.54164,                0.85492,              0.0013519,              0.0013519,              0.0013519
                     33,                0.89091,                0.79003,                0.62358,                0.91983,                0.97145,                0.97468,                0.97672,                 0.7174,                0.97774,                0.98101,                0.98266,                 0.6374,                0.91291,                0.66898,                0.61109,                0.88875,              0.0013468,              0.0013468,              0.0013468
                     34,                0.82533,                0.79621,                 0.6083,                 0.9065,                0.94459,                 0.9674,                0.95278,                 0.6514,                0.95085,                0.97372,                 0.9639,                0.67645,                0.82257,                0.74692,                0.62121,                0.85116,              0.0013415,              0.0013415,              0.0013415
                     35,                0.86198,                0.94537,                0.76471,                0.92694,                  0.975,                0.98101,                0.98269,                0.74158,                0.96875,                0.97468,                0.97569,                0.60915,                0.78579,                0.75984,                0.60885,                0.84222,              0.0013361,              0.0013361,              0.0013361
                     36,                0.79707,                0.78453,                0.59613,                 0.8964,                0.98731,                0.98627,                0.99045,                0.79436,                0.97346,                0.97468,                0.98042,                0.68544,                0.69624,                0.66128,                0.53444,                0.83518,              0.0013305,              0.0013305,              0.0013305
                     37,                0.82856,                 0.8146,                0.60402,                0.89704,                0.97266,                0.98734,                0.98796,                0.74647,                0.96428,                0.98101,                0.98318,                 0.6621,                0.73379,                0.68878,                0.56947,                0.85123,              0.0013248,              0.0013248,              0.0013248
                     38,                0.85027,                0.87087,                0.61534,                0.88954,                0.97917,                0.94995,                0.98157,                 0.8052,                 0.9725,                0.92025,                0.97737,                0.75388,                0.69214,                0.67239,                0.54208,                0.84244,              0.0013189,              0.0013189,              0.0013189
                     39,                0.79154,                0.80803,                0.57681,                0.88204,                0.98052,                0.96835,                0.97973,                0.77774,                0.97403,                0.96203,                0.97601,                0.66972,                0.77093,                0.73274,                0.56602,                0.84357,              0.0013129,              0.0013129,              0.0013129
                     40,                0.83004,                0.79378,                0.58129,                0.89031,                0.96297,                0.97468,                0.98227,                0.75815,                0.96297,                0.97468,                0.98227,                0.70122,                0.76485,                0.64862,                0.55935,                0.85295,              0.0013067,              0.0013067,              0.0013067
                     41,                0.81883,                0.83692,                0.60161,                  0.892,                0.97792,                0.98101,                0.98478,                0.81146,                0.97163,                0.97468,                0.97983,                0.71336,                0.65191,                 0.6535,                0.49688,                 0.8455,              0.0013004,              0.0013004,              0.0013004
