                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1202,                0.63832,                 2.1503,                0.97436,                0.66667,                0.82719,                0.63737,                 1.0791,                0.51492,                   2.65,              0.0099918,              0.0099918,              0.0099918
                     36,                 1.1137,                0.63915,                 2.1612,                0.97436,                0.66667,                0.82847,                0.65998,                 1.0435,                0.48819,                 2.5809,              0.0099913,              0.0099913,              0.0099913
                     37,                 1.1249,                0.63341,                 2.1145,                      1,                0.66667,                 0.8333,                0.67498,                0.96027,                0.48658,                 2.4801,              0.0099908,              0.0099908,              0.0099908
                     38,                 1.1088,                 0.6441,                 2.1575,                      1,                0.66667,                 0.8333,                 0.6614,                 1.0041,                0.46791,                 2.4649,              0.0099902,              0.0099902,              0.0099902
                     39,                 1.1001,                0.62613,                 2.1298,                      1,                0.66667,                 0.8333,                 0.6568,                0.98981,                0.46339,                 2.5198,              0.0099897,              0.0099897,              0.0099897
                     40,                 1.0898,                0.61661,                 2.1269,                  0.975,                0.68421,                0.83714,                0.65555,                 1.0063,                0.48097,                 2.5913,              0.0099891,              0.0099891,              0.0099891
                     41,                 1.0855,                0.61879,                 2.1261,                      1,                0.66667,                 0.8333,                0.64195,                 1.0729,                0.49846,                 2.4875,              0.0099885,              0.0099885,              0.0099885
                     42,                 1.0849,                0.61051,                 2.1123,                      1,                0.66667,                 0.8333,                0.66576,                0.98726,                0.44437,                 2.4564,              0.0099879,              0.0099879,              0.0099879
                     43,                 1.0814,                0.61534,                 2.1025,                      1,                0.70175,                0.85085,                0.66705,                 1.0076,                 0.4655,                 2.5268,              0.0099873,              0.0099873,              0.0099873
                     44,                 1.0844,                0.60437,                 2.0968,                      1,                0.66667,                 0.8333,                0.64301,                 1.0766,                0.50093,                 2.5655,              0.0099867,              0.0099867,              0.0099867
                     45,                 1.0676,                0.58972,                 2.1206,                      1,                0.66667,                 0.8333,                0.66597,                  1.004,                0.45991,                 2.5147,              0.0099861,              0.0099861,              0.0099861
                     46,                 1.0679,                0.59052,                 2.0579,                      1,                0.68421,                0.84207,                0.66908,                 1.0011,                0.47812,                 2.5846,              0.0099854,              0.0099854,              0.0099854
                     47,                 1.0602,                0.58965,                 2.0997,                      1,                0.66667,                 0.8333,                0.65117,                  1.054,                0.45719,                 2.5798,              0.0099847,              0.0099847,              0.0099847
                     48,                 1.0719,                0.58633,                 2.0705,                      1,                0.64912,                0.82455,                0.67853,                0.96929,                0.45148,                 2.5088,              0.0099841,              0.0099841,              0.0099841
                     49,                 1.0436,                 0.5789,                 2.0778,                      1,                0.66667,                 0.8333,                0.67628,                0.94846,                0.42429,                 2.4703,              0.0099834,              0.0099834,              0.0099834
                     50,                 1.0545,                0.59277,                 2.0857,                      1,                0.68421,                0.84207,                0.64126,                 1.0674,                0.47674,                  2.704,              0.0099826,              0.0099826,              0.0099826
                     51,                 1.0438,                0.58293,                 2.0489,                      1,                0.66367,                0.82898,                0.65603,                 1.0275,                0.43177,                 2.6554,              0.0099819,              0.0099819,              0.0099819
                     52,                 1.0257,                0.56924,                 2.0454,                      1,                0.68421,                0.84207,                0.66242,                 1.0228,                0.46293,                 2.6002,              0.0099812,              0.0099812,              0.0099812
                     53,                 1.0341,                 0.5705,                 2.0276,                      1,                0.68421,                0.84207,                0.65828,                 1.0438,                0.46617,                  2.507,              0.0099804,              0.0099804,              0.0099804
                     54,                 1.0168,                 0.5604,                 2.0691,                      1,                0.68421,                0.84207,                0.67547,                 1.0245,                 0.4497,                  2.464,              0.0099796,              0.0099796,              0.0099796
                     55,                 1.0309,                0.56903,                 2.0328,                      1,                0.68421,                0.84207,                0.67293,                0.98119,                0.44109,                 2.5589,              0.0099788,              0.0099788,              0.0099788
                     56,                 1.0112,                0.56213,                 2.0346,                      1,                0.68421,                0.84207,                0.66878,                0.98834,                0.44167,                  2.567,               0.009978,               0.009978,               0.009978
                     57,                 1.0086,                 0.5531,                 2.0511,                      1,                0.68421,                0.84207,                0.68331,                0.96931,                0.42005,                 2.4909,              0.0099772,              0.0099772,              0.0099772
                     58,                 1.0195,                0.55789,                 2.0561,                      1,                0.70175,                0.85085,                0.68277,                 1.0097,                0.43852,                 2.5444,              0.0099764,              0.0099764,              0.0099764
                     59,                 1.0079,                0.55077,                 2.0292,                      1,                0.64912,                0.82455,                0.64155,                 1.0176,                 0.4666,                 2.5975,              0.0099755,              0.0099755,              0.0099755
                     60,                0.99653,                0.54973,                 1.9988,                  0.975,                0.68421,                0.83764,                0.66622,                 1.0205,                0.44043,                 2.6467,              0.0099747,              0.0099747,              0.0099747
                     61,                 1.0091,                 0.5478,                 2.0163,                      1,                0.68421,                0.84207,                0.66977,                 1.0107,                0.42576,                 2.5449,              0.0099738,              0.0099738,              0.0099738
                     62,                 1.0061,                0.55101,                 2.0232,                      1,                0.66667,                 0.8333,                0.65945,                 1.0264,                0.45008,                 2.5209,              0.0099729,              0.0099729,              0.0099729
                     63,                0.99214,                0.54093,                 2.0173,                 0.9896,                0.68421,                0.83814,                0.63748,                 1.1183,                0.46751,                 2.6381,               0.009972,               0.009972,               0.009972
                     64,                0.99322,                0.54431,                 2.0272,                      1,                0.68421,                0.84207,                 0.6694,                  1.003,                0.43626,                 2.5307,               0.009971,               0.009971,               0.009971
                     65,                0.98509,                0.53792,                 1.9841,                      1,                0.68421,                0.84207,                0.67917,                 1.0102,                0.42718,                 2.5973,              0.0099701,              0.0099701,              0.0099701
                     66,                0.98414,                0.53814,                 2.0111,                      1,                0.70175,                0.85085,                0.68245,                0.96858,                0.42475,                 2.5948,              0.0099692,              0.0099692,              0.0099692
                     67,                0.98922,                0.54112,                 2.0214,                      1,                0.70175,                0.85085,                 0.6695,                 1.0218,                0.44481,                 2.4825,              0.0099682,              0.0099682,              0.0099682
