                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96419,                 1.1656,                0.67144,                0.94387,                0.97736,                0.86047,                0.92765,                0.71422,                0.96981,                0.85382,                0.91999,                0.73296,                  1.018,                 1.3553,                0.66991,                0.93274,              0.0019415,              0.0019415,              0.0019415
                     25,                0.99604,                 1.1944,                0.70586,                0.94863,                0.99605,                0.83721,                0.91809,                 0.7167,                0.98814,                0.83056,                0.91326,                0.70713,                0.92858,                 1.2323,                0.68057,                0.94362,              0.0019361,              0.0019361,              0.0019361
                     26,                0.99502,                 1.2183,                0.67145,                0.96641,                0.97895,                0.92691,                0.96004,                0.74352,                0.96491,                0.91362,                0.95191,                0.74604,                0.96117,                 1.2294,                0.64483,                0.96904,              0.0019305,              0.0019305,              0.0019305
                     27,                0.98039,                 1.1916,                0.66093,                0.94874,                 0.9788,                0.92027,                0.95806,                0.72979,                0.96466,                0.90698,                0.94864,                0.73192,                0.98764,                 1.2924,                0.65716,                0.93791,              0.0019246,              0.0019246,              0.0019246
                     28,                0.96088,                 1.1378,                0.64533,                0.94855,                0.97826,                0.89701,                0.94592,                0.73374,                0.96014,                 0.8804,                0.93366,                0.69836,                0.92569,                 1.2382,                0.60007,                 0.9416,              0.0019186,              0.0019186,              0.0019186
                     29,                0.94463,                 1.1297,                0.64307,                 0.9378,                0.97153,                0.90698,                0.94877,                0.73466,                0.96441,                0.90033,                0.94285,                0.73664,                0.96492,                  1.203,                0.61892,                0.94878,              0.0019123,              0.0019123,              0.0019123
                     30,                0.95386,                 1.0888,                0.64342,                0.94651,                0.97222,                0.93023,                 0.9578,                0.71184,                0.95486,                0.91362,                0.94923,                0.70414,                 1.0141,                 1.2288,                0.65145,                 1.0152,              0.0019058,              0.0019058,              0.0019058
                     31,                0.95619,                 1.1169,                 0.6268,                0.95332,                0.96466,                0.90698,                0.94901,                0.72166,                0.96466,                0.90698,                0.94618,                0.74801,                 1.0463,                 1.1346,                0.60713,                0.98677,               0.001899,               0.001899,               0.001899
                     32,                0.98869,                 1.0688,                0.64588,                0.94805,                 0.9854,                0.89701,                0.94645,                0.73493,                0.97445,                0.88704,                0.93608,                 0.7427,                0.98155,                 1.1578,                0.62587,                0.92304,              0.0018921,              0.0018921,              0.0018921
                     33,                0.94463,                 1.0911,                0.64416,                0.92863,                0.98276,                0.94684,                0.97076,                0.73613,                0.96897,                0.93355,                0.95716,                0.73913,                 1.0079,                 1.1376,                0.62744,                0.93023,              0.0018849,              0.0018849,              0.0018849
                     34,                0.90215,                 1.0811,                0.62897,                0.92977,                0.99242,                0.87043,                0.93384,                0.76121,                0.98485,                0.86379,                0.92228,                0.71639,                0.87807,                 1.1635,                0.59041,                0.91549,              0.0018775,              0.0018775,              0.0018775
                     35,                0.90129,                 1.0991,                0.61951,                0.91843,                 0.9927,                0.90365,                0.95111,                0.75936,                0.97445,                0.88704,                0.93916,                0.76257,                0.91484,                 1.1459,                0.56937,                 0.9121,              0.0018699,              0.0018699,              0.0018699
                     36,                0.87291,                 1.0392,                0.59965,                0.90518,                0.98601,                0.93688,                0.96638,                0.77918,                0.97203,                0.92359,                0.95676,                 0.7419,                0.85917,                  1.088,                0.53332,                0.89212,              0.0018621,              0.0018621,              0.0018621
