                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6068,                 3.4206,                 4.1882,                      0,                      0,                      0,                      0,                 3.9526,                 3.2319,                 4.1383,              0.0033157,              0.0033157,              0.0033157
                      2,                 3.8877,                 2.2816,                 3.8656,                      0,                      0,                      0,                      0,                  2.633,                 2.3392,                  3.771,               0.006649,               0.006649,               0.006649
                      3,                 2.7338,                 2.0056,                 3.5748,                0.73118,                0.28571,                0.52655,                0.23276,                 2.4268,                 1.8134,                 3.7405,              0.0099823,              0.0099823,              0.0099823
                      4,                 2.2986,                 1.6113,                 3.3502,                0.79808,                0.34874,                0.58104,                0.33422,                 1.9782,                 1.4114,                 3.4562,              0.0099999,              0.0099999,              0.0099999
                      5,                 2.0206,                 1.3618,                 3.1639,                    0.9,                0.26471,                0.58949,                0.39868,                 1.8546,                 1.3098,                 3.1249,              0.0099999,              0.0099999,              0.0099999
                      6,                 1.8789,                 1.2371,                 3.0041,                0.94444,                0.35714,                0.65318,                 0.4379,                   1.74,                 1.1632,                  3.143,              0.0099999,              0.0099999,              0.0099999
                      7,                 1.7472,                 1.1708,                 2.8351,                0.91429,                0.40336,                0.67045,                0.46084,                 1.6053,                 1.1404,                 3.0348,              0.0099998,              0.0099998,              0.0099998
                      8,                 1.6083,                 1.0584,                  2.753,                0.85271,                0.46218,                0.66718,                0.46197,                 1.5691,                 1.0452,                 2.9865,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.5491,                 1.0112,                 2.6734,                  0.872,                0.45798,                0.67584,                0.48908,                 1.4531,                0.97741,                 2.8832,              0.0099996,              0.0099996,              0.0099996
                     10,                 1.4688,                0.96712,                 2.5417,                0.92308,                0.45378,                0.70056,                0.50443,                 1.4628,                0.91981,                 2.9878,              0.0099995,              0.0099995,              0.0099995
                     11,                 1.4564,                0.94825,                 2.5379,                0.86881,                 0.5042,                 0.7032,                0.50848,                 1.3832,                 0.8648,                 2.7523,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.4005,                0.89038,                  2.433,                0.92035,                0.43697,                0.67909,                0.49527,                 1.3965,                0.89027,                 2.8143,              0.0099992,              0.0099992,              0.0099992
                     13,                 1.3463,                0.85611,                 2.4568,                 0.9084,                    0.5,                0.71221,                0.53045,                 1.3751,                0.83852,                 2.7139,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.3597,                0.85038,                 2.4277,                    0.9,                 0.4916,                0.71584,                0.52867,                 1.2832,                0.85601,                 2.7198,              0.0099989,              0.0099989,              0.0099989
                     15,                 1.3351,                0.85394,                 2.4229,                0.85211,                 0.5084,                0.70423,                 0.5066,                 1.4259,                0.84214,                 2.8473,              0.0099987,              0.0099987,              0.0099987
                     16,                 1.3033,                0.81162,                 2.3529,                0.93893,                0.51681,                 0.7372,                0.53507,                 1.4078,                0.78281,                 2.7226,              0.0099985,              0.0099985,              0.0099985
                     17,                 1.2802,                0.80142,                 2.3357,                0.93798,                 0.5084,                0.73213,                0.56353,                 1.3096,                 0.7568,                 2.6654,              0.0099983,              0.0099983,              0.0099983
                     18,                 1.2703,                0.77077,                 2.2967,                0.91603,                 0.5042,                0.72427,                0.56553,                 1.2734,                0.74121,                 2.6136,              0.0099981,              0.0099981,              0.0099981
                     19,                 1.2449,                0.75425,                 2.2656,                0.92969,                    0.5,                0.72469,                0.55916,                 1.3208,                 0.7588,                 2.7592,              0.0099978,              0.0099978,              0.0099978
                     20,                 1.2448,                0.76049,                 2.2804,                0.83648,                0.55882,                0.72531,                0.52901,                 1.3104,                0.76077,                 2.6455,              0.0099976,              0.0099976,              0.0099976
                     21,                 1.2082,                0.73368,                 2.2356,                0.91912,                0.52521,                0.73152,                 0.5578,                 1.2866,                0.71885,                  2.818,              0.0099973,              0.0099973,              0.0099973
                     22,                 1.2087,                0.72384,                 2.2176,                0.94488,                 0.5042,                0.72916,                0.56659,                 1.2191,                0.67646,                 2.5621,               0.009997,               0.009997,               0.009997
                     23,                 1.1982,                0.72628,                 2.2176,                0.92593,                0.52521,                0.73568,                0.58114,                 1.2067,                0.65591,                 2.6264,              0.0099967,              0.0099967,              0.0099967
                     24,                 1.1742,                0.70639,                 2.2363,                      1,                0.46218,                0.73108,                0.56808,                 1.2825,                0.78147,                 2.6823,              0.0099964,              0.0099964,              0.0099964
                     25,                  1.167,                0.69203,                 2.1932,                0.93233,                0.52101,                0.73637,                0.52332,                 1.3535,                 0.7219,                  2.689,               0.009996,               0.009996,               0.009996
                     26,                 1.1616,                0.69081,                 2.1916,                0.92053,                0.58403,                0.75396,                0.57463,                 1.2025,                0.65297,                 2.6087,              0.0099957,              0.0099957,              0.0099957
                     27,                 1.1456,                0.67646,                 2.1751,                0.87582,                0.56303,                0.73423,                0.55249,                 1.2643,                0.70014,                 2.6465,              0.0099953,              0.0099953,              0.0099953
                     28,                 1.1364,                0.65635,                 2.1599,                0.90909,                0.54622,                0.73894,                0.55721,                 1.2611,                   0.69,                 2.6601,              0.0099949,              0.0099949,              0.0099949
                     29,                  1.133,                0.66932,                 2.1547,                0.93548,                0.48739,                0.72018,                0.53236,                 1.3057,                0.75893,                 2.7386,              0.0099945,              0.0099945,              0.0099945
                     30,                 1.1423,                0.66177,                 2.1494,                0.96899,                0.52521,                0.75219,                0.58947,                 1.1809,                0.63945,                 2.6157,              0.0099941,              0.0099941,              0.0099941
                     31,                 1.1123,                0.64903,                  2.154,                0.92908,                0.55042,                0.74322,                0.56477,                 1.2062,                 0.6426,                 2.6379,              0.0099937,              0.0099937,              0.0099937
                     32,                 1.1026,                0.64531,                 2.1407,                 0.9281,                0.59664,                0.76348,                0.56979,                 1.2527,                0.62913,                 2.7248,              0.0099932,              0.0099932,              0.0099932
                     33,                 1.1116,                0.64373,                 2.1344,                0.94776,                0.53361,                0.75241,                0.56955,                 1.2339,                0.62373,                 2.6558,              0.0099928,              0.0099928,              0.0099928
                     34,                 1.1052,                0.64346,                  2.135,                0.92361,                0.55882,                0.74498,                0.58146,                 1.1348,                 0.6222,                 2.5096,              0.0099923,              0.0099923,              0.0099923
                     35,                  1.106,                0.63401,                 2.0995,                0.95139,                0.57563,                0.76771,                0.59578,                 1.1618,                0.59924,                 2.6033,              0.0099918,              0.0099918,              0.0099918
                     36,                 1.1067,                0.63396,                 2.1008,                0.92593,                0.63025,                0.77924,                0.58476,                 1.1859,                0.61541,                 2.5901,              0.0099913,              0.0099913,              0.0099913
